temp,humidity,hours_stored,days_to_expiry,spoiled
19.57,95,72,6,1
15.29,83,149,0,1
7.81,81,120,7,0
5.16,80,77,7,0
5.13,91,188,4,0
3.46,80,40,8,0
6.84,81,89,2,0
5.37,88,59,3,0
19.26,83,125,3,1
8.8,75,156,9,0
10.03,78,43,7,0
2.88,67,184,7,0
8.85,83,200,1,0
2.61,85,145,10,0
8.18,65,180,1,0
11.92,68,28,9,0
18.06,63,178,10,0
16.06,81,158,3,1
18.54,67,54,1,0
6.14,66,195,8,0
12.67,83,146,2,1
7.1,76,116,9,0
6.2,93,162,8,0
9.4,66,187,1,0
3.62,65,178,2,0
14.69,79,150,3,0
11.09,81,113,1,0
19.76,72,187,8,0
16.08,93,63,8,1
3.41,92,131,9,0
19.16,89,196,7,1
7.25,86,147,9,0
13.52,95,89,1,1
2.82,87,138,3,0
2.48,69,36,1,0
16.53,70,125,4,0
13.32,92,161,5,1
17.43,81,94,8,0
16.91,84,179,2,1
7.58,83,155,5,0
19.14,78,49,0,1
9.07,87,196,7,0
7.55,63,59,2,0
11.78,77,132,7,0
15.99,60,43,2,0
7.43,68,34,8,0
17.94,92,87,8,1
5.99,74,96,6,0
17.81,88,61,8,1
5.8,94,30,4,0
10.4,65,125,7,0
16.81,62,100,7,0
12.3,75,82,4,0
16.99,64,70,5,0
3.7,84,185,10,0
10.69,92,49,1,0
4.09,74,96,10,0
11.83,86,30,8,0
10.16,74,194,3,0
17.6,92,171,3,1
18.11,63,24,6,0
17.57,71,177,4,0
14.04,76,196,5,0
10.83,80,151,5,0
16.77,68,189,2,0
6.34,72,195,10,0
15.36,66,145,5,0
9.26,79,149,3,0
6.64,61,53,0,0
4.85,63,77,3,0
6.39,91,51,9,0
10.54,65,152,1,0
14.06,70,37,3,0
14.04,60,142,7,0
15.54,86,115,5,1
3.34,64,133,1,0
14.49,69,70,3,0
18.59,95,164,5,1
13.47,63,112,0,0
16.75,76,187,1,0
4.14,87,178,6,0
2.39,83,122,0,0
16.06,94,67,4,1
11.25,81,112,10,0
8.21,71,115,10,0
12.01,69,143,0,0
8.88,77,134,6,0
18.15,77,142,9,0
10.28,71,29,0,0
8.89,64,180,6,0
17.89,75,161,3,0
18.37,92,142,6,1
12.5,72,84,5,0
4.48,81,179,10,0
6.2,73,29,8,0
2.05,60,32,6,0
10.28,73,177,5,0
19.23,84,171,8,1
6.49,94,155,6,0
4.18,85,94,5,0
12.49,76,148,3,0
9.81,67,60,2,0
8.89,73,54,6,0
15.27,79,56,1,0
10.13,86,151,8,0
14.34,94,42,6,0
13.74,79,132,0,0
15.86,68,85,8,0
3.63,83,149,1,0
16.42,80,163,9,0
2.27,84,96,4,0
9.85,64,86,6,0
7.99,90,34,4,0
16.19,61,152,9,0
16.44,84,196,1,1
14.6,73,166,7,0
4.52,84,195,3,0
7.91,92,174,10,0
19.44,82,94,4,0
5.6,90,89,7,0
5.06,88,41,10,0
16.24,62,165,3,0
6.19,76,188,1,0
2.56,81,44,6,0
2.85,65,81,6,0
18.31,72,67,6,0
17.25,91,152,8,1
19.27,80,61,7,0
15.29,80,163,0,0
9.23,73,104,3,0
14.18,61,118,0,0
4.14,80,105,0,0
19.24,92,69,9,1
12.73,68,118,1,0
2.9,73,28,7,0
15.63,76,193,5,0
18.4,66,155,5,0
3.14,68,153,7,0
7.79,79,178,6,0
10.73,83,116,10,0
5.81,83,197,2,0
11.5,85,132,5,0
14.95,67,146,2,0
15.33,86,48,9,1
4.06,92,150,2,0
10.27,63,74,8,0
18.25,79,110,1,0
4.89,92,135,5,0
9.1,74,189,7,0
8.48,75,55,0,0
8.16,72,53,9,0
7.77,83,76,10,0
11.79,95,24,10,0
11.82,82,114,6,0
19.06,69,100,7,0
6.93,77,128,8,0
3.88,90,155,4,0
19.19,66,187,3,0
12.68,88,74,10,0
12.9,84,81,7,0
13.98,91,66,0,1
14.44,79,184,8,0
15.69,86,75,5,1
11.42,77,104,5,0
13.87,91,62,10,0
9.77,93,174,5,0
10.92,78,35,1,0
11.76,64,99,4,0
6.76,95,64,10,0
7.97,64,138,0,0
3.7,61,63,0,0
15.47,91,33,5,1
13.01,79,97,2,0
19.44,61,64,4,0
16.83,79,65,8,0
15.14,84,133,6,1
12.31,82,67,8,0
7.95,61,84,0,0
17.97,76,157,6,0
9.45,73,99,3,0
18.11,86,87,9,1
17.17,90,181,5,1
15.89,90,82,8,1
15.99,81,78,10,0
17.94,74,176,6,0
18.5,75,71,7,0
18.34,69,85,5,0
8.27,69,177,10,0
2.88,64,179,3,0
11.46,94,185,9,0
13.23,92,197,7,1
3.14,64,175,8,0
7.62,74,183,6,0
6.21,94,110,7,0
16.36,79,78,8,0
5.75,66,62,4,0
12.87,93,132,0,1
8.02,93,115,7,0
4.09,84,196,8,0
4.75,64,44,10,0
